,first_purchase,last_purchase,tempo_purchase,day_ratio,evening_ratio,night_ratio,weekend_ratio,Electronics_ratio,Fashion_ratio,Home & Garden_ratio,Collectibles_ratio,Lifestyle_ratio,Parts & Accessories_ratio,Business & Industrial_ratio,Media_ratio,median_purchase_price_percentile,q1_purchase_price_percentile,q3_purchase_price_percentile,min_purchase_price_percentile,max_purchase_price_percentile,Age,gender,number_purchase,openness_group
22,0.593025483809,0.917256396298,0.108227957863,0.935483870968,0.0161290322581,0.0,0.0882352941176,0.5,0.046614872364,0.220588235294,0.102941176471,0.382352941176,0.0,0.0,0.0,0.333333333333,0.276315789474,0.36,0.513157894737,0.276315789474,0.75,1.0,0.127619047619,1.0
24,0.489365778885,1.0,0.109283578932,0.5,0.38,0.16,0.45652173913,0.434782608696,0.241181296144,0.163043478261,0.0760869565217,0.0217391304348,0.373641304348,0.0,0.0,0.333333333333,0.289473684211,0.44,0.421052631579,0.697368421053,0.958333333333,1.0,0.173333333333,1.0
27,0.822188158651,0.962438758846,0.0876146638307,0.8,0.2,0.0,0.0,0.48,0.211320754717,0.28,0.0,0.08,0.0,0.0,0.0,0.133333333333,0.118421052632,0.4,0.289473684211,0.210526315789,0.5,0.0,0.0457142857143,1.0
32,0.315769304464,0.976047904192,0.0568866361553,0.833333333333,0.0714285714286,0.0952380952381,0.333333333333,0.444444444444,0.218029350105,0.333333333333,0.037037037037,0.0,0.0,0.0,0.0,0.213333333333,0.210526315789,0.0933333333333,0.263157894737,0.434210526316,0.541666666667,0.0,0.118095238095,1.0
38,0.64533435524,0.943930321176,0.13410112183,0.666666666667,0.228070175439,0.0701754385965,0.24,0.293333333333,0.25358490566,0.2,0.528888888889,0.0266666666667,0.0,0.0,0.133333333333,0.2,0.394736842105,0.186666666667,0.0,0.25,0.666666666667,1.0,0.140952380952,1.0
41,0.0,0.995100707676,0.0461234671445,0.425925925926,0.444444444444,0.148148148148,0.28,0.266666666667,0.239496855346,0.0933333333333,0.124444444444,0.08,1.0,0.0,0.0,0.853333333333,0.842105263158,0.853333333333,0.513157894737,0.907894736842,0.791666666667,1.0,0.140952380952,1.0
42,1.0,0.982580293958,0.649049429658,1.0,0.0,0.0,0.0,0.0,0.0,0.285714285714,1.0,0.571428571429,0.0,0.0,0.0,0.533333333333,0.592105263158,0.16,0.868421052632,0.0263157894737,0.291666666667,1.0,0.0114285714286,1.0
44,0.696493581146,0.989112683723,0.198972847841,0.571428571429,0.238095238095,0.349206349206,0.37,0.19,0.655094339623,0.08,0.186666666667,0.04,0.0,0.0,0.05,0.68,0.736842105263,0.64,0.394736842105,0.842105263158,0.958333333333,0.0,0.188571428571,1.0
46,0.452385514466,0.996189439303,0.088971820378,0.627450980392,0.352941176471,0.0392156862745,0.3625,0.6,0.0528301886792,0.0625,0.0875,0.225,0.4296875,0.0,0.0,0.56,0.578947368421,0.693333333333,0.5,0.881578947368,0.916666666667,1.0,0.150476190476,1.0
52,0.687871239701,0.993467610234,0.100209531895,0.833333333333,0.0952380952381,0.0,0.192307692308,0.173076923077,0.345428156749,0.269230769231,0.358974358974,0.0384615384615,0.0,0.0769230769231,0.192307692308,0.626666666667,0.526315789474,0.52,0.513157894737,0.684210526316,0.75,0.0,0.0971428571429,1.0
